Week,Date,Class Schedule and Content,,Reflection
,,Part 1: Applied Foundations,Part 2: Founders in the Field,
1,1/16,"From Problem to Purpose – Technical Founder-Market Fit: Exercise on identifying real-world problems and founder-market fit.
Activities include:
20-10-10 exercise (products, problems, causes).

Small group feedback sessions to refine ideas.","Keynote + Founder-Market Fit Workshop: Fireside chat with a serial founder on problem alignment.
Learning goals include:
Exploring your founder profile.

Understanding founder-market fit vs. product-market fit.

Learning how to commit to and refine a single idea.",Founder Manifesto: 5-min video on your chosen problem and unique solution as well as why you specifically should solve this. Define the mission you are on.
2,1/23,"Vertical Deep Dive – Choosing Your Playing Field: Workshop on competitive analysis and market landscapes.

Activities include:
Conducting a domain scan for developments, pain points, and constraints.

Orienting to various competitive analysis views (grids, landscapes, blue ocean).

Finding a technical advantage/approach","Curated Panels – Founder(s) in the Field: Expert panels on vertical-specific opportunities and competition.

Learning goals include:
Exploring opportunity zones.

Understanding vertical constraints.

Learning how founders define competition and pursue wedge opportunities.

Quick Wins, Flagship Features","Competitive Analysis: 1-page or canvas artifact and 5-min video on key competitors and market gaps. Special emphasis on legacy tech/your opportunity. Define your acquisition features (stand out, instant gratification)."
3,1/30,"From Idea to Insight – Building What Matters: Hands-on design thinking, stakeholder mapping, and customer profiling.

Activities include:
Using Miro templates for customer identity, problems, and solutions via storyboarding.

Applying the ""5 Whys"" exercise and concept sketching

Using UIZARD.IO or equivalent to quick sketch FE","Founder Talk + Design Sprint Case: Guest product leader shares insights on customer feedback and product roadmaps.
Learning goals include:
Learning lean validation techniques.

Understanding how early insights shift product direction.

Exploring AI's role in product development.",Insight from the Field: Video interview on surprising customer insights and your reflection using a pseudo front end. Define what EXCITED and DISSAPOINTED them. Use AI transcribers.
4,2/6,"The First 10 Users – How Real Products Start: Practical workshop on low-cost strategies to acquire early users and retain them.
Activities include:
Identifying product stickiness and drafting target personas.

Brainstorming user acquisition channels (forums, Slack groups, etc.).

Defining compelling offers for initial trials.

Using automation to assist (not lead) acq e.g., Lindy, n8n, etc","Product/UX Showcase + Growth Case Study: Founders share tactics for bootstrapping initial customer acquisition and community building.
Learning goals include:
Understanding product stickiness for early users.

Learning practical user acquisition without large budgets.

Exploring onboarding, activation, and retention patterns.

What happens when “AGI” happens","Onboarding & Assumptions: Write an offer and onboarding experience, test assumptions efficiently, and list (B2C or B2B) lead tactics. Target 100 consumer signs ups or 5 interested enterprise"
5,2/13,"Building as a Team – Culture, Equity, and Speed: Frameworks for structuring founding teams, defining roles, and navigating equity splits when you are the technical or product lead..
Activities include:
Reflecting on founder strengths and mapping core functions (note AI's role).

Discussing founder gaps with peers.

Unique communication/style challenges of technical leaders","Fireside Chat + Role-Based Co-Founder Mapping: Co-founder teams discuss dynamics, conflict resolution, and partnership structure.
Learning goals include:
Understanding technical team structuring for speed.

Learning how early-stage equity impacts dynamics.

Exploring how to assess co-founders for alignment.","“Who Not How” Map: Write a reflection and record a 5-min video on your skill gaps, ideal co-founders, and equity philosophy. Create job descriptions of both humans and AI colleagues."
6,2/20,"Startup Finance 101 – Cash Flow, Burn, and Milestones: Workshop on creating milestone-based budgets and understanding burn rate.
Activities include:
Defining milestones and mapping necessary resources.

Grouping projected needs into cost buckets.

Getting feedback from groups.","Tactical Workshop + Financial Case Study: Fractional CFO or finance expert demystifies financial modeling.
Learning goals include:
Planning an 18-month financial runway.

Understanding fixed vs. variable costs.

Learning early financial decision-making.",Milestone-Based Budget + Video: Simple milestone-based budget breakdown and a 5-min video explaining financial decisions. You will submit the budget/basics as well.
7,2/27,"Raising Capital – Strategic Fit, Not Just a Check: Lecture on funding sources and identifying aligned investors.
Activities include:
Reviewing capital categories and defining startup funding needs.

Mapping startup profiles to investor types for fit.","Interactive Panel – Capital with Alignment: VC panel discusses investment criteria and strategic alignment.
Learning goals include:
Understanding how different capital sources operate.

Learning fundraising as a relationship.

Identifying how to align stage, story, and source.",Investor Fit Video: 5-min video on why you are raising capital and specific investor fit. Develop a target list of 10-20 investors because of their thesis/stage overlap (including accelerators or angels)
,3/6,Spring Break (no class),,
8,3/13,"Go-To-Market (GTM) Strategy – Beyond Building, Into Selling: Session on developing a GTM plan and securing real users.
Activities include:
Identifying customer segments and listing where users gather.

Drafting an outreach message and getting feedback on tone and effectiveness.

Product Demos (technical vs business value)","Founder Talk + Reverse GTM Tear-Down: Technical founder shares strategies for building initial sales momentum.
Learning goals include:
Understanding early-stage channels, pricing, and sales experiments.

Learning the basics of product-led growth, pilots, and customer activation.

Developing confidence in selling.","3-Step GTM Plan: Write a GTM plan with outreach templates, key metrics, and example personas. Create and submit a value focused product demo (can be design mockups focused)"
